Filename,STFMK-20201105-LW19-2373_20201125_140003_004.dat
Sample Rate,4000
Label,ND
Label_No,-1
-0.0000524521,
-0.0000447598,
-0.0000750850,
-0.0001136833,
-0.0001201268,
-0.0001347065,
-0.0000655807,
-0.0001084777,
-0.0001571814,
0.0000022295,
-0.0001263618,
-0.0000863347,
-0.0001083039,
-0.0001419290,
-0.0000856846,
-0.0001239777,
-0.0001988617,
-0.0001816443,
-0.0001759462,
-0.0001525242,
-0.0001966953,
-0.0002056548,
-0.0001548757,
-0.0002258211,
-0.0002288790,
-0.0002288818,
-0.0002115237,
-0.0001991616,
-0.0002064282,
-0.0002275038,
-0.0002467632,
-0.0002054401,
-0.0002015055,
-0.0001786162,
-0.0001689976,
-0.0001800060,
-0.0001633786,
-0.0002585252,
-0.0001811930,
-0.0001765301,
-0.0002217293,
-0.0002883453,
-0.0002995566,
-0.0002076301,
-0.0002866590,
-0.0002586842,
-0.0002319514,
-0.0002725356,
-0.0002545661,
-0.0003216009,
-0.0002992153,
-0.0002065898,
-0.0002137060,
-0.0002192121,
-0.0002310902,
-0.0001692772,
-0.0001895686,
-0.0002309118,
-0.0002668007,
-0.0002285623,
-0.0002646446,
-0.0001756895,
-0.0002010969,
-0.0002202905,
-0.0002311788,
-0.0002038479,
-0.0002364127,
-0.0002230917,
-0.0002028244,
-0.0002302480,
-0.0002110004,
-0.0002014941,
-0.0001990382,
-0.0001455649,
-0.0001400378,
-0.0001525879,
-0.0001696310,
-0.0000969683,
-0.0000871782,
-0.0000945959,
-0.0000619888,
-0.0000894155,
-0.0000801176,
-0.0000976837,
-0.0000658644,
-0.0000369549,
-0.0000693120,
-0.0000827039,
-0.0000851476,
-0.0000084322,
-0.0000452995,
-0.0000635907,
-0.0000425744,
-0.0000886759,
-0.0001062943,
-0.0000452995,
-0.0000508364,
-0.0000182118,
-0.0000015264,
-0.0000311248,
-0.0000441074,
-0.0000321888,
-0.0000126095,
-0.0000181280,
-0.0000072912,
-0.0000178814,
-0.0000355332,
-0.0000253045,
-0.0000144622,
0.0000158677,
0.0000131130,
-0.0000869379,
-0.0000418415,
0.0000017784,
-0.0000105328,
0.0000500679,
-0.0000005882,
0.0000285096,
0.0000538959,
0.0000836213,
0.0000965595,
0.0001375049,
0.0001669394,
0.0001729486,
0.0001782327,
0.0001454353,
0.0001462337,
0.0001474918,
0.0002291514,
0.0001886998,
0.0001597404,
0.0001185474,
0.0002145526,
0.0001940750,
0.0001332249,
0.0001907349,
0.0001451092,
0.0002031885,
0.0002135762,
0.0001972804,
0.0001549721,
0.0002371178,
0.0002160582,
0.0002176167,
0.0002237844,
0.0002360344,
0.0002224020,
0.0001881733,
0.0001967925,
0.0001945240,
0.0002193451,
0.0002417310,
0.0002099823,
0.0001844977,
0.0001713474,
0.0001883507,
0.0001357720,
0.0001386249,
0.0001263976,
0.0001298098,
0.0001740456,
0.0001508162,
0.0001330345,
0.0001457260,
0.0002026836,
0.0000953674,
0.0001582267,
0.0001855728,
0.0001831741,
0.0002234548,
0.0002372265,
0.0002250486,
0.0001921961,
0.0001934965,
0.0002137167,
0.0001764297,
0.0002228043,
0.0002225938,
0.0002457965,
0.0001880239,
0.0002682209,
0.0002006658,
0.0001572220,
0.0001698906,
0.0001472786,
0.0001287460,
0.0001809390,
0.0001576918,
0.0001464958,
0.0002234187,
0.0001657009,
0.0001500958,
0.0001351101,
0.0001519843,
0.0001077879,
0.0001049042,
0.0001863614,
0.0001450286,
0.0001062341,
0.0001469955,
0.0001454353,
-0.0000071031,
0.0000425882,
0.0000278679,
0.0000601742,
0.0000846386,
0.0000424039,
0.0001203921,
0.0000390810,
0.0000466326,
0.0000071526,
0.0000705074,
0.0000689584,
0.0000643490,
0.0000479890,
0.0000584126,
-0.0000408262,
-0.0000043387,
0.0000139290,
0.0000354033,
-0.0000059605,
-0.0000594794,
-0.0000463489,
-0.0001033976,
-0.0000440153,
-0.0000846386,
-0.0000924385,
-0.0000497499,
-0.0000746624,
-0.0001308269,
-0.0001478195,
-0.0001614741,
-0.0001926526,
-0.0001626948,
-0.0002071458,
-0.0001788139,
-0.0001253422,
-0.0002175092,
-0.0001992468,
-0.0001578939,
-0.0001633167,
-0.0001783380,
-0.0002312209,
-0.0002299132,
-0.0002858829,
-0.0002276897,
-0.0002297219,
-0.0002305230,
-0.0002830804,
-0.0002679645,
-0.0001907349,
-0.0003231258,
-0.0002826513,
-0.0002512990,
-0.0002368492,
-0.0002396107,
-0.0002827047,
-0.0002713347,
-0.0003046115,
-0.0002757225,
-0.0002753735,
-0.0002661790,
-0.0002571010,
-0.0002313341,
-0.0002675292,
-0.0001931190,
-0.0002398074,
-0.0002791450,
-0.0003414239,
-0.0002644887,
-0.0002634525,
-0.0003240254,
-0.0002944886,
-0.0002580965,
-0.0002944304,
-0.0002932549,
-0.0002851979,
-0.0003278984,
-0.0003286745,
-0.0002814679,
-0.0002563000,
-0.0002807870,
-0.0002601102,
-0.0002511973,
-0.0002617718,
-0.0002217293,
-0.0002831441,
-0.0002334361,
-0.0002592555,
-0.0002409270,
-0.0002670288,
-0.0001846381,
-0.0001525360,
-0.0002194684,
-0.0001850449,
-0.0001370907,
-0.0001923309,
-0.0001823147,
-0.0001146836,
-0.0001613744,
-0.0001025200,
-0.0000691295,
-0.0000867160,
-0.0000670878,
-0.0000221622,
-0.0000417233,
0.0000183467,
0.0000248082,
0.0000099013,
0.0000879738,
